emp_no,first_name,last_name,dept_name
10018,Kazuhide,Peha,Development
10018,Kazuhide,Peha,Production
10035,Alain,Chappelet,Production
10058,Berhard,McFarlin,Marketing
10126,Kayoko,Valtorta,Customer Service
10340,Djelloul,Laventhal,Marketing
10364,Nakhoon,Dengi,Production
10387,Parto,Wrigley,Customer Service
10396,Sibyl,Rahier,Development
10453,Tsvetan,Matzel,Customer Service
10494,Yakkov,Servieres,Production
10548,Ramalingam,Gunderson,Sales
10548,Ramalingam,Gunderson,Marketing
10628,Krisda,Krogh,Development
10847,Theirry,Danley,Research
10848,Fen,Bratsberg,Production
11019,Leon,Huttel,Development
11081,Barry,Boyle,Finance
11085,Hailing,Thummel,Production
11112,Boaz,Mukaidono,Customer Service
11232,Hidefumi,Crelier,Customer Service
11365,Toshimi,Shinomoto,Production
11393,Junsik,Junot,Production
11415,Sanjiv,Anido,Production
11515,Ulf,Basawa,Sales
11894,Mitchel,Validov,Development
12070,Ger,Shokrollahi,Development
12089,Bilhanan,Socorro,Human Resources
12311,Susanne,Lubachevsky,Development
12327,DAIDA,Bruckman,Development
12411,Shao,Ibel,Sales
12504,Adly,Rosaz,Production
12514,Tomofumi,Melter,Development
12528,Conor,Cincotta,Customer Service
12553,Aral,Vesna,Human Resources
12642,Suebskul,Gips,Marketing
12651,Pragnesh,Bael,Sales
12664,Zhonghua,Parveen,Customer Service
12664,Zhonghua,Parveen,Sales
12798,Lillian,Beeson,Sales
12803,Gad,Boissier,Sales
12803,Gad,Boissier,Marketing
12926,Heekeun,Luby,Research
13103,Srinidhi,Ellozy,Development
13156,Akeel,Millington,Development
13182,Kokou,Rodite,Production
13233,Alselm,Chvatal,Development
13238,Ebru,Foote,Sales
13272,Arun,Jiang,Customer Service
13385,Claudi,Buchter,Human Resources
13458,Feipei,Nivat,Customer Service
13458,Feipei,Nivat,Production
13463,Theron,Berstel,Production
13552,Ingmar,Capobianchi,Research
13653,Kristen,Iivonen,Human Resources
13670,Moti,Takanami,Development
13697,Shuichi,Weedon,Development
13704,Vishu,Kumaresan,Production
13809,Kiyotoshi,Basagni,Customer Service
13825,Arlette,Pell,Production
13992,Ulises,Kenevan,Finance
14232,Masali,Bojadziev,Development
14236,Xuedong,Angiulli,Research
14290,Miyeon,Olivero,Production
14439,Raimond,Woycyznski,Quality Management
14498,Xiong,Selenyi,Human Resources
14600,Jayson,Cairo,Customer Service
14639,Arvind,Hempstead,Sales
14723,Constantino,Assaf,Human Resources
14814,Odysseas,Nishimukai,Customer Service
14983,Hyuckchul,Pouyioutas,Marketing
15049,Khun,Waymire,Customer Service
15089,Giri,Coney,Development
15114,Pantung,Honglei,Development
15237,Reinhard,Sadowsky,Development
15329,Fan,Openshaw,Development
15382,Alassane,Siegrist,Sales
15470,Weiwu,Huhdanpaa,Production
15651,Huan,Iwayama,Production
15739,Poorav,Bahr,Development
15819,Magdalena,Rajcani,Sales
15819,Magdalena,Rajcani,Marketing
15901,Marsja,Fargier,Quality Management
15901,Marsja,Fargier,Production
15945,Hauke,Larfeldt,Production
16000,Marek,Demos,Production
16028,JiYoung,Takkinen,Production
16068,Leandro,Zongker,Finance
16086,Mohammad,Denos,Development
16274,Sadun,Navazio,Finance
16397,Shimshon,Cusworth,Finance
16438,Abdulla,Demeyer,Production
16447,Zhiguo,Savasere,Development
16447,Zhiguo,Savasere,Production
16486,Sanjay,Perin,Research
16491,Emdad,Radwan,Customer Service
16719,Sasan,Benantar,Human Resources
16869,Yakkov,Huttel,Research
17046,Fay,Kornyak,Development
17160,Shay,Montemayor,Production
17215,Junichi,Langford,Production
17355,Mingzeng,Weisert,Development
17387,Shir,Serra,Marketing
17472,Murthy,Verhoeff,Marketing
17512,Frederique,Hofmeyr,Development
17512,Frederique,Hofmeyr,Production
17520,Shahab,Keohane,Development
17539,Cathie,Uhrik,Development
17559,Annemarie,Papastamatiou,Research
17559,Annemarie,Papastamatiou,Development
17582,Kauko,Spieker,Development
17629,Mostafa,Winter,Sales
17674,Adib,Braccini,Development
17711,Owen,Katiyar,Development
17716,Josyula,Vitiello,Quality Management
17728,Tsuneo,Lienhardt,Research
17791,Matt,Stifter,Sales
17891,Isaac,Luiz,Development
17907,Kotesh,Bernini,Finance
17925,Adamantios,Baezner,Quality Management
18006,Vidya,Hanabata,Customer Service
18006,Vidya,Hanabata,Sales
18013,Jiong,Shanbhogue,Development
18208,Demin,Irland,Human Resources
18212,Constantino,Journel,Customer Service
18223,Gully,Mitchem,Research
18223,Gully,Mitchem,Production
18251,Alair,Panangaden,Research
18376,Wayne,Stranks,Production
18402,Bernice,Ritzmann,Customer Service
18547,Gladys,Sankaranarayanan,Production
18663,Rafols,Sridhar,Production
18679,Roded,Lambe,Sales
18786,Guozhong,Veevers,Development
18786,Guozhong,Veevers,Production
18817,Kristin,Xiaoshan,Human Resources
18890,Pasqua,Litecky,Human Resources
18955,Ziya,Flexer,Production
19012,Gal,Panangaden,Sales
19109,Jenwei,Denis,Sales
19318,Xianlong,Halevi,Customer Service
19318,Xianlong,Halevi,Sales
19335,Susanta,Khalid,Research
19422,Florian,Budinsky,Quality Management
19422,Florian,Budinsky,Production
19425,Xuejia,Pettey,Development
19488,Maris,Perly,Development
19640,Tonny,Francisci,Quality Management
19640,Tonny,Francisci,Production
19665,Khalid,Zielinski,Development
19674,Mart,Varley,Customer Service
19709,Xiaopeng,Asmuth,Production
19720,Kwangyoen,Maksimenko,Development
19724,Visit,Hasham,Sales
19777,Halsur,Ferretti,Sales
19804,Tamiya,Benzmuller,Finance
19839,Tadahiro,Hempstead,Development
19849,Weicheng,Serre,Sales
19940,Reinhard,Einsfeld,Sales
19946,Owen,Levasseur,Finance
20068,Masali,Rouquie,Production
20119,Josyula,Shigei,Production
20169,Gil,Zuberek,Development
20171,Kazuhira,Murtha,Production
20265,Amalendu,Willoner,Production
20316,Kellie,Krybus,Customer Service
20435,Oguz,Homond,Sales
20454,Nidapan,Gunderson,Development
20456,Sigeru,Highland,Development
20548,Edwin,Bugrara,Human Resources
20666,Shushma,Linares,Development
20708,Aemilian,Arlazarov,Sales
21165,Mingdong,Pfau,Development
21192,Sajjad,Krohm,Development
21192,Sajjad,Krohm,Production
21229,Vasilis,Collavizza,Development
21454,Zsolt,Pocchiola,Customer Service
