emp_no,first_name,last_name,title,from_date,salary
465751,Elzbieta,Thorensen,Assistant Engineer,1999-07-16,60179
80981,Fumitake,Niizuma,Assistant Engineer,1993-11-18,40000
281058,Miomir,Bressoud,Assistant Engineer,1999-01-19,40000
28714,Arco,Poehlman,Assistant Engineer,1996-11-25,40000
466867,Kwangjo,Klerer,Assistant Engineer,1997-01-25,68241
280977,Frazer,Shokrollahi,Assistant Engineer,1996-12-19,43557
207426,Mats,Panangaden,Assistant Engineer,1998-10-23,58946
226884,Adam,Fortenbacher,Assistant Engineer,1997-05-19,40000
493944,Ziyad,Gulla,Assistant Engineer,1998-02-02,57380
280452,Navin,Chenoweth,Assistant Engineer,1997-04-27,44906
53530,Gully,Pintelas,Assistant Engineer,1998-10-19,54088
233346,Serenella,Oehlmann,Assistant Engineer,1999-09-16,40000
56659,Takahiro,Lanteri,Assistant Engineer,1997-10-10,40000
207295,Aiichiro,Motley,Assistant Engineer,1998-01-19,40000
42942,Mansur,Bolotov,Assistant Engineer,1998-08-02,40000
63744,Shaw,Mitchem,Assistant Engineer,1996-04-04,47300
79669,Premsyl,Meszaros,Assistant Engineer,1996-07-02,44222
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,40000
463334,Tran,Peak,Assistant Engineer,1996-12-13,40000
494355,Koichi,Reutenauer,Assistant Engineer,1998-04-25,40000
470117,Hailing,Varman,Assistant Engineer,1999-11-17,40000
400982,Jessie,Rindone,Assistant Engineer,1997-09-18,52245
269041,Yahiko,Picaronny,Assistant Engineer,1999-03-06,60384
269039,Lenore,Alpin,Assistant Engineer,1999-07-22,50571
39812,Marit,Peres,Assistant Engineer,1994-09-18,42858
451257,Foong,Muniz,Assistant Engineer,1994-05-02,54215
55632,Byong,Ravishankar,Assistant Engineer,1996-04-23,40000
55552,Ohad,Schicker,Assistant Engineer,1999-05-31,40000
101086,Fumino,Breugel,Assistant Engineer,1996-09-28,65639
476314,Jinxi,Gente,Assistant Engineer,1995-05-20,54318
29077,Candida,Tagansky,Assistant Engineer,1997-04-17,41624
101067,Kerhong,Schmittgen,Assistant Engineer,1998-10-12,54297
442699,Samphel,Baer,Assistant Engineer,1996-06-03,40000
416847,Jinpo,Dengi,Assistant Engineer,1996-11-25,40000
267904,Suebskul,Rande,Assistant Engineer,1999-11-30,52749
294340,Radhika,Veldwijk,Assistant Engineer,1998-07-03,62631
256213,Shichao,Pileggi,Assistant Engineer,1998-06-13,40000
236860,Jaewoo,Skafidas,Assistant Engineer,1998-04-16,55329
492328,Mooi,Tzvieli,Assistant Engineer,1995-09-06,43811
437470,Rasiah,Bouloucos,Assistant Engineer,1997-12-24,40277
88796,Mang,Erol,Assistant Engineer,1997-05-03,40000
450842,Charmane,Danner,Assistant Engineer,1997-02-05,40000
249052,Houman,Awdeh,Assistant Engineer,1997-03-02,40000
277886,Vishv,Yeung,Assistant Engineer,1994-04-02,61591
207276,Ramalingam,Oaver,Assistant Engineer,1998-06-04,40000
85109,Ottavia,Rebaine,Assistant Engineer,1998-12-14,40000
42274,Gal,Grospietsch,Assistant Engineer,1998-12-28,40000
31128,Serif,Frolund,Assistant Engineer,1996-02-21,67108
255361,Aamer,Spell,Assistant Engineer,1995-08-21,40000
62155,Akemi,Basawa,Assistant Engineer,1998-11-02,40170
212697,Yongmao,Raney,Assistant Engineer,1999-04-27,49640
224472,Marla,Birta,Assistant Engineer,1996-01-20,40101
404074,Horward,Moehrke,Assistant Engineer,1995-12-01,58459
255282,Sumant,Aamodt,Assistant Engineer,1995-05-07,40000
467559,Nathalie,Wilharm,Assistant Engineer,1996-01-16,40000
94900,Atilio,Zyda,Assistant Engineer,1996-04-09,40000
430446,Guoxiang,Ghandeharizadeh,Assistant Engineer,1997-08-21,40000
