emp_no,title,first_name,last_name,from_date
10001,Senior Engineer,Georgi,Facello,1986-06-26
10004,Senior Engineer,Chirstian,Koblick,1995-12-01
10009,Senior Engineer,Sumant,Peac,1995-02-18
10018,Senior Engineer,Kazuhide,Peha,1995-04-03
10035,Senior Engineer,Alain,Chappelet,1996-09-05
10053,Senior Staff,Sanjiv,Zschoche,1994-11-13
10058,Senior Staff,Berhard,McFarlin,1988-04-25
10066,Senior Engineer,Kwee,Schusler,1998-02-25
10067,Senior Engineer,Claudi,Stavenow,1996-03-03
10070,Technique Leader,Reuven,Garigliano,1985-10-14
10072,Senior Engineer,Hironoby,Sidou,1995-05-21
10076,Senior Engineer,Erez,Ritzmann,1996-07-15
10088,Senior Staff,Jungsoon,Syrzycki,1993-09-02
10100,Senior Staff,Hironobu,Haraldson,1994-09-21
10103,Engineer,Akemi,Birch,1998-01-12
10126,Senior Staff,Kayoko,Valtorta,1991-09-08
10129,Technique Leader,Armond,Peir,1996-01-16
10130,Senior Engineer,Nishit,Casperson,1988-06-21
10134,Senior Engineer,Diederik,Siprelle,1994-12-12
10138,Senior Engineer,Perry,Shimshoni,2001-03-03
10150,Senior Engineer,Zhenbing,Perng,1995-11-16
10153,Assistant Engineer,Heekeun,Majewski,2000-01-08
10157,Senior Engineer,Nigel,Aloisi,1997-12-10
10198,Senior Engineer,Pranav,Furedi,1993-08-31
10215,Senior Staff,Xiaobin,Duclos,1991-11-23
10224,Senior Engineer,Leon,Trogemann,1996-01-09
10233,Senior Staff,Lein,Vendrig,2000-04-28
10258,Senior Engineer,Basil,Ishibashi,1997-05-16
10272,Staff,Yishai,Cannane,1997-10-23
10282,Engineer,Hercules,Benzmuller,2001-05-02
10283,Senior Engineer,Kauko,Birjandi,1995-05-26
10326,Staff,Masali,Czap,1998-09-02
10340,Senior Staff,Djelloul,Laventhal,1993-03-30
10347,Staff,Pradeep,Kaminger,1998-02-20
10355,Staff,Satyanarayana,Cochrane,1996-01-26
10356,Senior Staff,Vasilis,Standera,1995-06-26
10364,Senior Engineer,Nakhoon,Dengi,1985-11-14
10372,Technique Leader,Anneli,Frijda,1985-07-30
10387,Senior Staff,Parto,Wrigley,1999-01-07
10396,Senior Engineer,Sibyl,Rahier,1986-01-11
10402,Technique Leader,Volkmar,Ebeling,1987-01-02
10404,Senior Engineer,Prodip,Rosti,1996-08-28
10426,Technique Leader,Arunas,Luce,1985-07-06
10429,Senior Engineer,Martien,Improta,1988-09-23
10432,Senior Staff,Hisao,Tiemann,1996-08-12
10451,Senior Engineer,Bodh,Ranta,1998-03-12
10453,Senior Staff,Tsvetan,Matzel,1993-04-02
10463,Staff,Ung,Zaiane,1994-02-17
10486,Senior Engineer,Amstein,Kossowski,1996-10-07
10494,Senior Engineer,Yakkov,Servieres,2000-12-17
10504,Staff,Xiong,Varker,1999-10-19
10512,Senior Staff,Udi,Gihr,1998-11-28
10522,Senior Staff,Marke,Cesareni,1995-12-12
10548,Senior Staff,Ramalingam,Gunderson,1993-07-04
10564,Senior Engineer,Jianhao,Thisen,2000-11-22
10623,Senior Engineer,Aleksander,Danlos,1999-01-15
10628,Senior Engineer,Krisda,Krogh,2001-03-14
10631,Engineer,Inderjeet,Chaudhuri,1994-10-18
10642,Engineer,Hirochika,Narlikar,1998-10-05
10653,Senior Engineer,Otmar,Feinberg,1987-04-30
10671,Senior Staff,Parviz,Rebaine,2001-09-13
10676,Engineer,Valeri,Danley,1999-09-04
10693,Senior Staff,Berhard,Daescu,1991-01-08
10702,Senior Engineer,Bader,Szemeredi,1991-01-14
10718,Senior Engineer,Adib,Rullman,1997-07-21
10726,Senior Engineer,Zita,Minakawa,2001-02-24
10734,Engineer,Sachar,Erdi,1995-12-19
10745,Senior Engineer,Poorav,Ranze,1997-01-22
10749,Senior Engineer,King,Brendel,1990-09-26
10767,Staff,Monique,Doering,1997-07-15
10768,Senior Engineer,Ishfaq,Candan,1990-07-04
10778,Senior Staff,Selwyn,Merey,1986-07-04
10791,Senior Engineer,Tadahiko,Sgarro,1995-07-31
10795,Senior Staff,Supot,Naudin,1999-05-03
10808,Senior Engineer,Chenxi,Leijenhorst,1987-03-07
10835,Engineer,Tomoyuki,Kermarrec,1995-08-22
10836,Senior Staff,Jianhua,Leivant,1987-08-10
10844,Engineer,Dipayan,Koprowski,1997-04-25
10847,Senior Staff,Theirry,Danley,1992-07-24
10848,Senior Engineer,Fen,Bratsberg,1992-04-20
10878,Staff,Lakshmi,Deville,1997-04-25
10879,Senior Engineer,Muzhong,Chleq,1985-08-15
10883,Engineer,Shimshon,Champarnaud,1996-12-28
10909,Senior Engineer,Georgi,Atchley,2000-12-26
10921,Senior Engineer,Mara,Bahi,1995-07-27
10924,Senior Staff,Hironoby,Atchley,1997-08-14
10927,Senior Staff,Gal,Scallan,1993-09-12
10936,Senior Staff,Mountaz,Schicker,1996-05-08
10943,Senior Engineer,Berna,Skafidas,1999-05-22
10965,Senior Staff,Eckart,Braunschweig,1986-07-29
10969,Senior Engineer,Premal,Noriega,1994-05-12
10974,Senior Engineer,Muneo,Papsdorf,1999-05-17
10986,Technique Leader,Masako,Schiper,1985-10-11
10988,Senior Engineer,Chinya,Deyuan,1985-06-19
10989,Senior Staff,Sumali,Candan,1991-07-20
10990,Technique Leader,Shin,Foote,1990-08-06
11009,Senior Staff,Alper,Axelband,1993-09-09
11012,Staff,Taegyun,Speckmann,1996-07-06
11019,Senior Engineer,Leon,Huttel,1997-05-24
11021,Staff,Srinidhi,Henders,1998-02-02
11027,Senior Engineer,Remzi,Cappello,1996-05-06
11031,Senior Staff,Ottavia,Walstra,1993-10-24
11037,Senior Engineer,Lansing,Maliniak,1995-01-28
11038,Senior Staff,Jinya,Beidas,1992-07-15
11042,Senior Engineer,Gou,Breugel,2000-06-21
11048,Senior Staff,Jaques,Demke,1999-05-27
11050,Senior Staff,Elvis,Katiyar,1991-05-06
11051,Senior Engineer,Przemyslawa,Erol,2000-03-26
11070,Senior Engineer,Adib,Raney,1991-07-24
11081,Senior Staff,Barry,Boyle,1994-06-17
11085,Senior Engineer,Hailing,Thummel,1996-02-10
11100,Senior Staff,Berna,Cochrane,1993-10-13
11106,Senior Engineer,Aris,Iwayama,1997-08-30
11112,Staff,Boaz,Mukaidono,1995-04-28
11113,Senior Staff,Shahab,Peng,1991-11-30
11121,Senior Engineer,Vugranam,Kakkad,1999-11-01
11133,Technique Leader,Nalini,Azulay,1994-03-06
11134,Senior Engineer,Sachar,Rajcani,2002-05-19
11137,Engineer,Hugh,Luca,1995-03-16
11139,Senior Staff,Bogdan,Homond,1995-05-11
11146,Senior Staff,Ishfaq,Masand,1997-08-21
11148,Senior Staff,Zhanqiu,Botman,1997-02-08
11162,Senior Engineer,Kauko,Narlikar,1990-03-28
11180,Senior Engineer,Mitsuyuki,Bojadziev,1992-06-10
11197,Senior Staff,Tadahiro,Fordan,1989-09-12
11204,Technique Leader,Diederik,Covnot,1985-09-18
11207,Engineer,Saeed,Gips,1999-01-31
11208,Technique Leader,Saniya,Valtorta,1994-11-17
11211,Senior Engineer,Yurij,Rissland,1985-09-17
11217,Senior Engineer,Kellie,Mawatari,1990-03-11
11232,Senior Staff,Hidefumi,Crelier,2000-08-01
11240,Engineer,Kiam,Condotta,1997-01-06
11249,Engineer,Randi,Cyre,1994-09-22
11251,Senior Staff,Bezalel,Chinal,1993-06-15
11268,Senior Engineer,Aimee,Petersohn,1995-10-25
11275,Senior Engineer,Hitomi,Eppinger,1998-04-25
11290,Engineer,Visit,Dredge,1999-05-13
11295,Senior Staff,Abdelkader,Lanzelotte,1990-05-15
11319,Assistant Engineer,Pranas,Marrakchi,1998-11-01
11320,Senior Staff,Atilio,McAlpine,1998-04-06
11322,Senior Engineer,Nathalie,Pocchiola,1999-07-08
11324,Senior Engineer,Kauko,Billingsley,1985-08-29
11338,Senior Staff,Kwangsub,Hanratty,1998-10-28
11339,Senior Engineer,Flemming,Massonet,1989-12-19
11347,Senior Engineer,Anneli,Jonsson,1992-04-19
11365,Engineer,Toshimi,Shinomoto,1997-12-18
11376,Senior Staff,Valery,Suomi,1994-03-14
11380,Senior Engineer,Kenroku,Pelc,2001-04-18
11385,Engineer,Shiv,Ullian,1999-08-08
11386,Senior Engineer,Alselm,Assaf,1993-11-29
11393,Senior Engineer,Junsik,Junot,1992-04-30
11398,Senior Staff,Oscar,Peir,2001-09-07
11404,Technique Leader,Bedrich,Borovoy,1990-09-25
11415,Engineer,Sanjiv,Anido,1996-12-07
11421,Senior Engineer,Josyula,Msuda,1995-09-02
11441,Senior Staff,Marlo,Aingworth,1987-03-27
11449,Senior Engineer,Kotesh,Asser,2000-02-03
11459,Senior Staff,Duke,Suomi,1992-05-02
11469,Senior Engineer,Guttorm,Giaccio,1999-09-08
11506,Staff,Rance,Picel,1996-04-08
11509,Senior Engineer,Aleksander,Feldhoffer,1992-11-11
11513,Senior Staff,Otmar,Mahnke,1998-08-25
11515,Staff,Ulf,Basawa,1998-09-21
11518,Senior Staff,Jinxi,Oxman,1999-09-22
11524,Senior Engineer,Xiadong,Standera,1996-07-05
11527,Staff,Alagu,Boyle,1999-01-28
11528,Technique Leader,Zito,Dolinsky,1987-06-15
11537,Senior Staff,DAIDA,Pehl,1986-07-06
11554,Staff,Subhash,Taubenfeld,1998-07-15
11555,Senior Staff,Kotesh,Perfilyeva,1991-10-14
11567,Senior Staff,Teiji,Mitzlaff,1996-02-03
11568,Senior Engineer,Martins,Fujisaki,2000-03-13
11603,Senior Staff,Herb,Swen,1994-04-13
11607,Engineer,Tomokazu,Foong,1995-04-19
11615,Senior Staff,Shem,Isaak,2000-08-28
11624,Senior Engineer,Adil,Gammage,1996-07-15
11628,Senior Engineer,Fan,Malinowski,1997-10-23
11640,Senior Engineer,Valeri,Coorg,1988-09-26
11647,Senior Engineer,Magy,Nitsche,1993-05-11
11660,Senior Staff,Gill,Stenning,1994-11-22
11673,Technique Leader,Henk,Felder,1989-06-10
11676,Engineer,Valeri,Ferriere,1998-07-15
11681,Senior Engineer,Fumitake,Benzmuller,1995-08-28
11684,Senior Staff,Oksana,Gide,1995-02-21
11696,Senior Staff,Dante,Rothe,1994-10-23
11732,Senior Engineer,Sanjoy,Ranft,1996-12-22
11735,Senior Staff,Amalendu,Picci,1997-07-14
11746,Senior Staff,Koichi,Marrakchi,1995-11-18
11751,Senior Staff,Jiafu,Emiris,1993-11-03
11764,Senior Engineer,Sanjay,Anick,1996-12-15
11769,Senior Staff,Chandrasekaran,Lampe,2001-10-22
11772,Engineer,Gaurav,Penz,1999-11-07
11797,Senior Staff,Chenxi,Thambidurai,1996-08-30
11810,Senior Engineer,Amabile,Bhattacharjee,1992-01-05
11817,Senior Staff,Niranjan,Markovitch,1993-04-12
11832,Engineer,Arto,Zlotek,1996-02-04
11844,Senior Engineer,Shawna,Demeyer,1995-01-27
11853,Senior Staff,Zeljko,Kusakabe,1996-11-17
11857,Senior Staff,Divier,Farrag,1986-08-27
11864,Staff,Pradeep,Kriebel,1995-11-02
11871,Senior Engineer,Nalini,Sommen,1998-10-13
11872,Senior Staff,Cheong,Riexinger,2002-02-12
11894,Senior Engineer,Mitchel,Validov,1988-06-22
11897,Senior Staff,Cordelia,Setlzner,1997-06-16
11906,Engineer,Hideo,Boguraev,1999-02-07
11915,Senior Engineer,Miomir,Mawatari,2001-06-28
11931,Senior Staff,Gunilla,Chiodo,2000-01-13
11933,Senior Engineer,Basil,Erman,1992-06-12
11949,Technique Leader,Martijn,Harbusch,1985-03-11
11983,Senior Engineer,Jaana,Hedayat,1994-10-11
11993,Senior Staff,Marit,Dalphin,1996-10-22
12011,Senior Staff,Zhilian,Coorg,1997-07-22
12036,Senior Staff,Mads,Ratzlaff,1995-09-05
12037,Senior Staff,Arunas,Katzenelson,1992-09-30
12050,Engineer,Yuchang,Tchuente,1996-04-01
12062,Senior Staff,Margareta,Worfolk,1996-01-04
12069,Senior Engineer,Ayonca,Burnard,1995-05-13
12070,Technique Leader,Ger,Shokrollahi,1988-11-14
12076,Senior Staff,Karlis,Siprelle,1985-03-25
12082,Senior Staff,Xinan,Yamaashi,1992-01-29
12089,Senior Staff,Bilhanan,Socorro,1994-10-22
